iter	Passed	Remaining
401	16458	24483
402	16498	24440
403	16535	24393
404	16580	24358
405	16609	24300
406	16655	24267
407	16728	24273
408	16768	24229
409	16806	24185
410	16845	24141
411	16881	24093
412	16919	24047
413	16958	24003
414	16983	23941
415	17027	23903
416	17068	23862
417	17108	23821
418	17149	23779
419	17188	23735
420	17226	23691
421	17269	23653
422	17310	23612
423	17350	23571
424	17390	23528
425	17427	23481
426	17465	23436
427	17502	23391
428	17542	23348
429	17585	23310
430	17623	23266
431	17665	23226
432	17704	23183
433	17747	23145
434	17789	23105
435	17830	23064
436	17870	23022
437	17908	22978
438	17945	22932
439	17990	22896
440	18032	22857
441	18071	22814
442	18111	22771
443	18150	22728
444	18198	22696
445	18238	22655
446	18281	22616
447	18322	22576
448	18363	22534
449	18402	22492
450	18442	22449
451	18481	22406
452	18522	22366
453	18563	22325
454	18584	22259
455	18623	22217
456	18667	22179
457	18707	22138
458	18746	22096
459	18787	22055
460	18826	22012
461	18863	21966
462	18902	21923
463	18939	21877
464	18977	21834
465	19014	21789
466	19052	21745
467	19095	21707
468	19124	21652
469	19164	21611
470	19203	21568
471	19244	21527
472	19280	21481
473	19319	21438
474	19356	21393
475	19397	21353
476	19450	21326
477	19490	21284
478	19529	21241
479	19570	21200
480	19597	21146
481	19639	21106
482	19675	21060
483	19712	21015
484	19751	20973
485	19787	20927
486	19826	20884
487	19863	20840
488	19901	20796
489	19957	20772
490	19980	20713
491	20020	20671
492	20057	20626
493	20093	20581
494	20136	20543
495	20173	20498
496	20213	20457
497	20250	20413
498	20289	20370
499	20327	20327
500	20367	20286
501	20406	20244
502	20447	20203
503	20486	20161
504	20523	20116
505	20548	20061
506	20589	20021
507	20633	19983
508	20673	19941
509	20716	19904
510	20757	19864
511	20796	19822
512	20862	19805
513	20905	19766
514	20949	19729
515	20989	19687
516	21030	19647
517	21067	19603
518	21107	19561
519	21143	19517
520	21183	19475
521	21221	19432
522	21269	19398
523	21309	19357
524	21350	19316
525	21389	19274
526	21430	19234
527	21470	19193
528	21511	19153
529	21552	19112
530	21589	19068
531	21629	19027
532	21665	18982
533	21706	18942
534	21732	18888
535	21771	18846
536	21809	18804
537	21847	18761
538	21885	18718
539	21922	18674
540	21964	18635
541	22019	18606
542	22056	18563
543	22094	18520
544	22134	18478
545	22171	18435
546	22222	18403
547	22261	18361
548	22294	18314
549	22335	18274
550	22375	18233
551	22415	18192
552	22453	18149
553	22490	18105
554	22528	18063
555	22566	18020
556	22604	17978
557	22648	17939
558	22686	17897
559	22725	17855
560	22763	17813
561	22817	17783
562	22855	17740
563	22880	17687
564	22920	17646
565	22956	17602
566	22998	17563
567	23044	17526
568	23080	17482
569	23122	17443
570	23163	17403
571	23219	17373
572	23260	17333
573	23311	17300
574	23360	17266
575	23403	17227
576	23442	17185
577	23479	17142
578	23518	17100
579	23556	17058
580	23595	17016
581	23632	16972
582	23671	16931
583	23709	16889
584	23749	16847
585	23786	16805
586	23828	16764
587	23865	16721
588	23904	16680
589	23941	16637
590	23981	16596
591	24018	16553
592	24059	16513
593	24097	16470
594	24139	16431
595	24180	16390
596	24219	16348
597	24259	16308
598	24298	16266
599	24339	16226
600	24364	16175
601	24401	16132
602	24440	16090
603	24476	16047
604	24515	16005
605	24553	15963
606	24594	15923
607	24631	15880
608	24670	15839
609	24707	15796
610	24746	15755
611	24786	15714
612	24825	15672
613	24862	15629
614	24901	15588
615	24938	15546
616	24977	15504
617	25015	15462
618	25058	15423
619	25098	15382
620	25151	15350
621	25192	15309
622	25230	15267
623	25270	15227
624	25308	15185
625	25349	15145
626	25388	15103
627	25426	15061
628	25464	15019
629	25502	14977
630	25539	14935
631	25579	14894
632	25618	14852
633	25656	14811
634	25694	14769
635	25733	14728
636	25771	14686
637	25815	14647
638	25853	14605
639	25905	14571
640	25945	14531
641	25985	14490
642	26026	14450
643	26065	14408
644	26109	14370
645	26151	14330
646	26190	14289
647	26227	14247
648	26265	14205
649	26303	14163
650	26322	14111
651	26361	14070
652	26398	14027
653	26435	13985
654	26473	13944
655	26509	13901
656	26550	13860
657	26611	13831
658	26648	13789
659	26688	13748
660	26718	13702
661	26739	13652
662	26778	13611
663	26815	13569
664	26854	13528
665	26892	13486
666	26933	13446
667	26973	13406
668	27013	13365
669	27054	13325
670	27095	13285
671	27132	13243
672	27171	13202
673	27209	13160
674	27246	13118
675	27285	13077
676	27322	13035
677	27362	12995
678	27400	12953
679	27439	12912
680	27477	12871
681	27516	12830
682	27553	12788
683	27594	12748
684	27632	12706
685	27672	12666
686	27710	12624
687	27748	12583
688	27786	12542
689	27825	12501
690	27864	12460
691	27906	12420
692	27945	12380
693	28004	12347
694	28066	12317
695	28106	12276
696	28148	12236
697	28187	12195
698	28228	12155
699	28266	12114
700	28306	12073
701	28344	12032
702	28381	11990
703	28421	11949
704	28458	11907
705	28497	11867
706	28534	11825
707	28572	11784
708	28609	11742
709	28646	11700
710	28687	11660
711	28724	11618
712	28763	11578
713	28803	11537
714	28844	11497
715	28883	11456
716	28923	11416
717	28965	11376
718	29004	11335
719	29042	11294
720	29083	11254
721	29123	11213
722	29166	11174
723	29204	11133
724	29240	11091
725	29278	11050
726	29317	11009
727	29354	10967
728	29393	10926
729	29430	10885
730	29471	10845
731	29512	10805
732	29552	10764
733	29596	10725
734	29637	10685
735	29680	10646
736	29724	10607
737	29764	10566
738	29827	10534
739	29871	10495
740	29911	10454
741	29952	10414
742	29993	10374
743	30037	10335
744	30076	10294
745	30116	10254
746	30157	10213
747	30201	10174
748	30241	10134
749	30278	10092
750	30317	10051
751	30355	10010
752	30394	9970
753	30431	9928
754	30470	9887
755	30508	9846
756	30549	9806
757	30587	9765
758	30627	9725
759	30666	9684
760	30703	9642
761	30742	9602
762	30782	9561
763	30823	9521
764	30863	9480
765	30903	9440
766	30941	9399
767	30980	9358
768	31017	9317
769	31056	9276
770	31093	9235
771	31132	9194
772	31170	9153
773	31210	9113
774	31248	9072
775	31287	9031
776	31324	8990
777	31364	8949
778	31401	8908
779	31440	8867
780	31477	8826
781	31515	8785
782	31581	8752
783	31618	8711
784	31658	8670
785	31698	8630
786	31737	8589
787	31778	8549
788	31818	8509
789	31855	8467
790	31893	8427
791	31929	8385
792	31968	8344
793	32006	8303
794	32043	8262
795	32082	8222
796	32120	8181
797	32159	8140
798	32196	8099
799	32236	8059
800	32272	8017
801	32324	7980
802	32361	7939
803	32400	7898
804	32438	7857
805	32476	7816
806	32514	7776
807	32553	7735
808	32595	7695
809	32633	7654
810	32675	7614
811	32715	7574
812	32755	7534
813	32800	7494
814	32840	7454
815	32876	7413
816	32915	7372
817	32952	7331
818	32991	7291
819	33028	7250
820	33067	7209
821	33104	7168
822	33143	7128
823	33185	7088
824	33224	7047
825	33261	7006
826	33300	6966
827	33338	6925
828	33377	6884
829	33413	6843
830	33452	6803
831	33489	6762
832	33530	6722
833	33570	6681
834	33613	6642
835	33653	6601
836	33692	6561
837	33738	6522
838	33784	6483
839	33822	6442
840	33860	6401
841	33905	6362
